fixture_id,date,league_name,home_team_name,away_team_name,odds_home,odds_draw,odds_away,target_result,target_home_goals,target_away_goals,target_total_goals,home_elo,away_elo,elo_diff,home_rolling_5_goals_scored,home_rolling_5_goals_conceded,home_rolling_5_sot_share,home_rolling_5_goals,home_rolling_5_shots,home_rolling_5_shots_on_target,home_rolling_5_corners,away_rolling_5_goals_scored,away_rolling_5_goals_conceded,away_rolling_5_sot_share,away_rolling_5_goals,away_rolling_5_shots,away_rolling_5_shots_on_target,away_rolling_5_corners
100109,2019-08-30,Ligue 1,Metz,Paris SG,7.5,4.75,1.4,2,0,2,2,1499.43278790048,1510.2794684162,-10.846680515719981,1.3333333333333333,1.3333333333333333,0.5035714285714286,1.3333333333333333,9.666666666666666,5.0,3.6666666666666665,2.6666666666666665,0.6666666666666666,0.7222222222222223,2.6666666666666665,14.0,6.0,7.0
100127,2019-08-31,Premier League,Southampton,Man United,3.8,3.3,2.05,0,1,1,2,1491.403477126367,1499.14549997581,-7.742022849442947,1.0,1.6666666666666667,0.4444444444444444,1.0,12.333333333333334,3.3333333333333335,5.666666666666667,2.0,1.0,0.47222222222222227,2.0,14.0,3.3333333333333335,5.666666666666667
100137,2019-08-31,Premier League,Burnley,Liverpool,9.5,5.5,1.3,2,0,3,3,1500.0082819270542,1529.4415388620023,-29.433256934948076,1.6666666666666667,1.0,0.5317460317460317,1.6666666666666667,13.666666666666666,4.333333333333333,4.0,3.0,1.0,0.625,3.0,18.333333333333332,6.0,8.666666666666666
100135,2019-08-31,Ligue 1,Angers,Dijon,1.7,3.6,5.0,1,2,0,2,1510.2794684162,1470.56721209952,39.71225631667994,2.0,2.3333333333333335,0.5119047619047619,2.0,13.0,4.0,3.6666666666666665,0.3333333333333333,1.6666666666666667,0.4343434343434343,0.3333333333333333,14.333333333333334,4.333333333333333,6.666666666666667
100133,2019-08-31,Premier League,Newcastle,Watford,2.5,3.25,2.87,0,1,1,2,1490.8613298404443,1470.5837485484283,20.277581292016066,0.6666666666666666,1.3333333333333333,0.4575757575757575,0.6666666666666666,9.0,2.6666666666666665,5.333333333333333,0.3333333333333333,2.3333333333333335,0.4102564102564103,0.3333333333333333,14.0,2.6666666666666665,6.666666666666667
100132,2019-08-31,Ligue 1,Lyon,Bordeaux,1.36,5.0,8.5,0,1,1,2,1509.1386701595557,1499.7205315838,9.41813857575562,3.0,0.3333333333333333,0.6481481481481481,3.0,12.666666666666666,5.333333333333333,3.0,1.3333333333333333,1.3333333333333333,0.5595238095238095,1.3333333333333333,10.333333333333334,3.3333333333333335,4.333333333333333
100131,2019-08-31,Premier League,Man City,Brighton,1.08,10.0,26.0,1,4,0,4,1519.9917180729458,1498.596522873633,21.395195199312866,3.3333333333333335,1.0,0.6666666666666666,3.3333333333333335,21.0,8.0,6.333333333333333,1.3333333333333333,1.0,0.5,1.3333333333333333,11.0,3.3333333333333335,6.0
100130,2019-08-31,Premier League,Leicester,Bournemouth,1.7,4.0,4.75,1,3,1,4,1510.0082748727182,1499.7205382437342,10.287736628984021,1.0,0.6666666666666666,0.36944444444444446,1.0,12.333333333333334,2.0,7.0,1.3333333333333333,1.6666666666666667,0.4823232323232323,1.3333333333333333,11.666666666666666,4.666666666666667,4.0
100129,2019-08-31,Premier League,Crystal Palace,Aston Villa,2.15,3.3,3.5,1,1,0,1,1500.56675634087,1491.1326302204052,9.434126120464725,0.6666666666666666,0.6666666666666666,0.4904761904761905,0.6666666666666666,5.666666666666667,3.0,3.6666666666666665,1.3333333333333333,1.6666666666666667,0.5833333333333334,1.3333333333333333,12.0,4.666666666666667,3.3333333333333335
100128,2019-08-31,Premier League,Chelsea,Sheffield United,1.36,4.75,9.0,0,2,2,4,1500.56721209952,1499.7039814439618,0.8632306555582545,1.3333333333333333,2.3333333333333335,0.607905982905983,1.3333333333333333,18.333333333333332,6.666666666666667,5.666666666666667,1.0,1.0,0.5095238095238095,1.0,10.333333333333334,3.0,6.333333333333333
100126,2019-08-31,Ligue 1,Nantes,Montpellier,2.1,3.1,3.75,1,1,0,1,1500.3042793327827,1500.8613298404443,-0.5570505076616428,1.0,1.0,0.7023809523809524,1.0,17.0,5.0,7.666666666666667,0.6666666666666666,0.6666666666666666,0.5601851851851852,0.6666666666666666,17.666666666666668,4.666666666666667,6.666666666666667
100125,2019-08-31,Premier League,West Ham,Norwich,1.85,3.9,3.9,1,2,0,2,1500.279006412737,1489.7205315838,10.558474828937051,1.3333333333333333,2.3333333333333335,0.4826007326007326,1.3333333333333333,9.666666666666666,5.333333333333333,4.666666666666667,2.0,2.6666666666666665,0.5095182595182596,2.0,11.0,6.0,3.3333333333333335
100117,2019-08-31,Ligue 1,Nimes,Brest,2.0,3.25,4.2,1,3,0,3,1480.5667430537187,1510.5589364493228,-29.99219339560409,1.0,2.3333333333333335,0.3972222222222222,1.0,12.333333333333334,3.3333333333333335,5.0,1.0,0.6666666666666666,0.5787037037037037,1.0,11.0,4.333333333333333,4.0
100122,2019-08-31,Ligue 1,Toulouse,Amiens,2.05,3.0,4.2,1,2,0,2,1499.43278790048,1490.2707319450626,9.162055955417372,0.6666666666666666,1.6666666666666667,0.3194444444444445,0.6666666666666666,11.333333333333334,3.3333333333333335,5.0,1.0,1.3333333333333333,0.38095238095238093,1.0,6.333333333333333,2.0,2.6666666666666665
100150,2019-09-01,Premier League,Arsenal,Tottenham,2.37,3.6,2.8,0,2,2,4,1509.9834498601524,1499.1386701595557,10.844779700596746,1.3333333333333333,1.3333333333333333,0.5059523809523809,1.3333333333333333,11.0,4.666666666666667,5.666666666666667,1.6666666666666667,1.3333333333333333,0.40101010101010104,1.6666666666666667,17.0,3.6666666666666665,7.333333333333333
100156,2019-09-01,Premier League,Everton,Wolves,2.2,3.25,3.5,1,3,2,5,1498.8673697795948,1500.2794617562658,-1.4120919766710358,0.3333333333333333,0.6666666666666666,0.45,0.3333333333333333,11.333333333333334,2.0,4.0,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,10.333333333333334,2.0,3.6666666666666665
100144,2019-09-01,Ligue 1,Reims,Lille,2.87,2.87,2.8,1,2,0,2,1499.4410635506772,1509.720993587263,-10.27993003658571,0.6666666666666666,0.3333333333333333,0.5158730158730159,0.6666666666666666,9.666666666666666,2.6666666666666665,3.3333333333333335,1.6666666666666667,0.6666666666666666,0.4621212121212121,1.6666666666666667,13.0,3.6666666666666665,6.0
100146,2019-09-01,Ligue 1,Strasbourg,Monaco,2.7,3.2,2.75,0,2,2,4,1490.85450002419,1480.2960119074467,10.55848811674332,0.3333333333333333,1.0,0.44285714285714284,0.3333333333333333,12.0,2.0,4.333333333333333,0.6666666666666666,2.6666666666666665,0.4083333333333334,0.6666666666666666,11.666666666666666,4.333333333333333,4.0
100145,2019-09-01,Ligue 1,Rennes,Nice,1.72,3.5,5.5,2,1,2,3,1529.43324365913,1508.5800885799504,20.853155079179714,1.6666666666666667,0.3333333333333333,0.5376984126984127,1.6666666666666667,9.0,3.6666666666666665,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.5,1.6666666666666667,11.666666666666666,4.0,4.0
